antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,G200D_ADD_CORROSION_SEAL_SET_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_CORROSION_SEAL_SET_G_SERIES,G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_INLET_VALVE_PLATE_G_SERIES,G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,G200D_ADD_INLET_VALVE_PLATE_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_INLET_VALVE_PLATE_G_SERIES,G200D_ADD_CORROSION_SEAL_SET_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_CORROSION_SEAL_SET_G_SERIES,G200D_ADD_INLET_VALVE_PLATE_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
"G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G200D_ADD_INLET_VALVE_PLATE_G_SERIES",G200D_ADD_CORROSION_SEAL_SET_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
"G200D_ADD_CORROSION_SEAL_SET_G_SERIES, G200D_ADD_INLET_VALVE_PLATE_G_SERIES",G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
"G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G200D_ADD_CORROSION_SEAL_SET_G_SERIES",G200D_ADD_INLET_VALVE_PLATE_G_SERIES,0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_INLET_VALVE_PLATE_G_SERIES,"G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G200D_ADD_CORROSION_SEAL_SET_G_SERIES",0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,"G200D_ADD_CORROSION_SEAL_SET_G_SERIES, G200D_ADD_INLET_VALVE_PLATE_G_SERIES",0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G200D_ADD_CORROSION_SEAL_SET_G_SERIES,"G200D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G200D_ADD_INLET_VALVE_PLATE_G_SERIES",0.05379959650302623,0.05379959650302623,0.05379959650302623,1.0,18.5875,1.0,0.0509051999191378,inf,1.0,1.0,1.0,1.0
G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,G100D_ADD_CORROSION_SEAL_SET_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_CORROSION_SEAL_SET_G_SERIES,G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,G100D_ADD_INLET_VALVE_PLATE_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_INLET_VALVE_PLATE_G_SERIES,G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_CORROSION_SEAL_SET_G_SERIES,G100D_ADD_INLET_VALVE_PLATE_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_INLET_VALVE_PLATE_G_SERIES,G100D_ADD_CORROSION_SEAL_SET_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
"G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G100D_ADD_CORROSION_SEAL_SET_G_SERIES",G100D_ADD_INLET_VALVE_PLATE_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
"G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G100D_ADD_INLET_VALVE_PLATE_G_SERIES",G100D_ADD_CORROSION_SEAL_SET_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
"G100D_ADD_CORROSION_SEAL_SET_G_SERIES, G100D_ADD_INLET_VALVE_PLATE_G_SERIES",G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES,"G100D_ADD_CORROSION_SEAL_SET_G_SERIES, G100D_ADD_INLET_VALVE_PLATE_G_SERIES",0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_CORROSION_SEAL_SET_G_SERIES,"G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G100D_ADD_INLET_VALVE_PLATE_G_SERIES",0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
G100D_ADD_INLET_VALVE_PLATE_G_SERIES,"G100D_ADD_ANTI_CORROSION_FASTENER_SET_G_SERIES, G100D_ADD_CORROSION_SEAL_SET_G_SERIES",0.08439811701412239,0.08439811701412239,0.08439811701412239,1.0,11.848605577689243,1.0,0.07727507485859289,inf,0.9999999999999998,1.0,1.0,1.0
